Category,Gila
Total_doses_administered,54124
Total_people_one_dose,29689
Total_people_complete,26221
Total_doses_ordered,37770
total_pouluation,55159
Male-65 years and older,5938
Male-55-64 years,2667
Male-45-54 years,1647
Male-20-44 years,3282
Male-Less than 20 years,777
Female-65 years and older,6298
Female-55-64 years,2964
Female-45-54 years,1738
Female-20-44 years,3399
Female-Less than 20 years,917
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1366
Other Race,4927
Unknown,5468
"American Indian or Alaska Native, non-Hispanic",6018
"White, non-Hispanic",11550
