Category,Graham
Total_doses_administered,42069
Total_people_one_dose,19122
Total_people_complete,16950
total_pouluation,19122
Male-65 years and older,1996
Male-55-64 years,1361
Male-45-54 years,1315
Male-20-44 years,3246
Male-Less than 20 years,1286
Female-65 years and older,2468
Female-55-64 years,1504
Female-45-54 years,1241
Female-20-44 years,3286
Female-Less than 20 years,1408
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,866
Hispanic or Latino,2845
Unknown,3814
"White, non-Hispanic",5631
"American Indian or Alaska Native, non-Hispanic",5817
