Category,La Paz
Total_doses_administered,19035
Total_people_one_dose,9297
Total_people_complete,7731
total_pouluation,9297
Male-65 years and older,2526
Male-55-64 years,652
Male-45-54 years,331
Male-20-44 years,705
Male-Less than 20 years,415
Female-65 years and older,2489
Female-55-64 years,763
Female-45-54 years,387
Female-20-44 years,622
Female-Less than 20 years,389
"Black or African American, non-Hispanic",41
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",564
Other Race,1209
Hispanic or Latino,1396
Unknown,1936
"White, non-Hispanic",4059
