Category,Yuma
Total_doses_administered,349387
Total_people_one_dose,171368
Total_people_complete,138397
total_pouluation,171368
Male-65 years and older,18039
Male-55-64 years,11196
Male-45-54 years,9740
Male-20-44 years,30330
Male-Less than 20 years,14714
Female-65 years and older,20598
Female-55-64 years,12031
Female-45-54 years,10675
Female-20-44 years,28308
Female-Less than 20 years,15057
"Black or African American, non-Hispanic",893
"American Indian or Alaska Native, non-Hispanic",1246
"Asian or Pacific Islander, non-Hispanic",1276
Other Race,20693
Unknown,30812
"White, non-Hispanic",37563
Hispanic or Latino,78885
