Category,Maricopa
Total_doses_administered,6224916
Total_people_one_dose,2820464
Total_people_complete,2470143
total_pouluation,2820464
Male-65 years and older,298970
Male-55-64 years,197412
Male-45-54 years,192867
Male-20-44 years,465214
Male-Less than 20 years,174721
Female-65 years and older,373319
Female-55-64 years,221330
Female-45-54 years,208430
Female-20-44 years,497285
Female-Less than 20 years,176526
"American Indian or Alaska Native, non-Hispanic",55325
"Black or African American, non-Hispanic",111414
"Asian or Pacific Islander, non-Hispanic",143818
Unknown,190297
Other Race,445422
Hispanic or Latino,491923
"White, non-Hispanic",1382265
