Category,Pinal
Total_doses_administered,533661
Total_people_one_dose,247576
Total_people_complete,216655
total_pouluation,247576
Male-65 years and older,39145
Male-55-64 years,17475
Male-45-54 years,15275
Male-20-44 years,36728
Male-Less than 20 years,12626
Female-65 years and older,44615
Female-55-64 years,20043
Female-45-54 years,15562
Female-20-44 years,32997
Female-Less than 20 years,12493
"Asian or Pacific Islander, non-Hispanic",4937
"Black or African American, non-Hispanic",9164
"American Indian or Alaska Native, non-Hispanic",10543
Other Race,29555
Unknown,30184
Hispanic or Latino,41878
"White, non-Hispanic",121315
