Category,Cochise
Total_doses_administered,188735
Total_people_one_dose,90102
Total_people_complete,74863
total_pouluation,90102
Male-65 years and older,12059
Male-55-64 years,6026
Male-45-54 years,4783
Male-20-44 years,12905
Male-Less than 20 years,6848
Female-65 years and older,14085
Female-55-64 years,7102
Female-45-54 years,5380
Female-20-44 years,13670
Female-Less than 20 years,7142
"American Indian or Alaska Native, non-Hispanic",388
"Asian or Pacific Islander, non-Hispanic",1586
"Black or African American, non-Hispanic",1699
Unknown,10944
Other Race,12720
Hispanic or Latino,27498
"White, non-Hispanic",35267
