Category,Coconino
Total_doses_administered,211916
Total_people_one_dose,93776
Total_people_complete,82714
total_pouluation,93776
Male-65 years and older,8435
Male-55-64 years,6045
Male-45-54 years,5773
Male-20-44 years,17553
Male-Less than 20 years,6852
Female-65 years and older,9427
Female-55-64 years,6731
Female-45-54 years,5744
Female-20-44 years,20008
Female-Less than 20 years,7032
"Black or African American, non-Hispanic",826
"Asian or Pacific Islander, non-Hispanic",1721
Hispanic or Latino,7575
Other Race,8056
Unknown,11398
"American Indian or Alaska Native, non-Hispanic",23948
"White, non-Hispanic",40252
