Category,Santa Cruz
Total_doses_administered,125546
Total_people_one_dose,63610
Total_people_complete,48915
total_pouluation,63610
Male-65 years and older,4806
Male-55-64 years,3504
Male-45-54 years,3745
Male-20-44 years,9807
Male-Less than 20 years,8605
Female-65 years and older,5855
Female-55-64 years,3945
Female-45-54 years,4137
Female-20-44 years,10415
Female-Less than 20 years,8690
"American Indian or Alaska Native, non-Hispanic",55
"Black or African American, non-Hispanic",57
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3575
Unknown,5717
"White, non-Hispanic",7645
Hispanic or Latino,46373
