Category,Yavapai
Total_doses_administered,281533
Total_people_one_dose,128813
Total_people_complete,108984
total_pouluation,128813
Male-65 years and older,28538
Male-55-64 years,10087
Male-45-54 years,5511
Male-20-44 years,11266
Male-Less than 20 years,3315
Female-65 years and older,34446
Female-55-64 years,12720
Female-45-54 years,6567
Female-20-44 years,11463
Female-Less than 20 years,3656
"Black or African American, non-Hispanic",644
"American Indian or Alaska Native, non-Hispanic",1547
"Asian or Pacific Islander, non-Hispanic",1654
Hispanic or Latino,9202
Other Race,19066
Unknown,19179
"White, non-Hispanic",77521
