Category,Arizona
Total_doses_administered,10667679
Total_people_complete,4189145
total_pouluation,7189020
Total_people_one_dose,4929217
Male-65 years and older,591279
Male-55-64 years,343096
Male-45-54 years,310875
Male-20-44 years,782024
Male-Less than 20 years,308865
Female-65 years and older,717688
Female-55-64 years,389917
Female-45-54 years,334585
Female-20-44 years,817163
Female-Less than 20 years,313897
"Black or African American, non-Hispanic",151649
"Asian or Pacific Islander, non-Hispanic",189647
"American Indian or Alaska Native, non-Hispanic",219024
Unknown,442705
Other Race,691686
Hispanic or Latino,955104
"White, non-Hispanic",2279402
