Category,Mohave
Total_doses_administered,201290
Total_people_one_dose,94638
Total_people_complete,79704
total_pouluation,94638
Male-65 years and older,21905
Male-55-64 years,8560
Male-45-54 years,4499
Male-20-44 years,8017
Male-Less than 20 years,2058
Female-65 years and older,23916
Female-55-64 years,9920
Female-45-54 years,5035
Female-20-44 years,8252
Female-Less than 20 years,2294
"Black or African American, non-Hispanic",665
"American Indian or Alaska Native, non-Hispanic",794
"Asian or Pacific Islander, non-Hispanic",1464
Hispanic or Latino,7849
Unknown,11754
Other Race,14852
"White, non-Hispanic",57260
