Category,Yavapai
Total_doses_administered,179166
Total_people_one_dose,101945
Total_people_complete,86147
Total_doses_ordered,165060
total_pouluation,232386
Male-65 years and older,23184
Male-55-64 years,8005
Male-45-54 years,4477
Male-20-44 years,8466
Male-Less than 20 years,1539
Female-65 years and older,28942
Female-55-64 years,10353
Female-45-54 years,5261
Female-20-44 years,8715
Female-Less than 20 years,1699
"Black or African American, non-Hispanic",0.0046789935749669
"American Indian or Alaska Native, non-Hispanic",0.0097797832164402
"Asian or Pacific Islander, non-Hispanic",0.0128108293687773
Hispanic or Latino,0.0569228505566727
Other Race,0.1550443866790917
Unknown,0.2586198440335475
"White, non-Hispanic",0.5021433125705038
