Category,La Paz
Total_doses_administered,16869
Total_people_one_dose,9197
Total_people_complete,8345
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3058
Male-55-64 years,658
Male-45-54 years,292
Male-20-44 years,457
Male-Less than 20 years,96
Female-65 years and older,2954
Female-55-64 years,823
Female-45-54 years,326
Female-20-44 years,420
Female-Less than 20 years,99
"Black or African American, non-Hispanic",0.0023920843753398
"Asian or Pacific Islander, non-Hispanic",0.0073937153419593
"American Indian or Alaska Native, non-Hispanic",0.0163096661954985
Hispanic or Latino,0.0986191149287811
Other Race,0.1137327389366098
Unknown,0.2748722409481353
"White, non-Hispanic",0.4866804392736762
