Category,Apache
Total_doses_administered,21520
Total_people_one_dose,12120
Total_people_complete,10217
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1667
Male-55-64 years,876
Male-45-54 years,548
Male-20-44 years,1005
Male-Less than 20 years,1853
Female-65 years and older,1706
Female-55-64 years,975
Female-45-54 years,603
Female-20-44 years,936
Female-Less than 20 years,1946
"Asian or Pacific Islander, non-Hispanic",0.0117161716171617
"Black or African American, non-Hispanic",0.0163366336633663
Unknown,0.0754125412541254
Other Race,0.0760726072607261
Hispanic or Latino,0.1084158415841584
"White, non-Hispanic",0.2372937293729373
"American Indian or Alaska Native, non-Hispanic",0.4747524752475248
