Category,La Paz
Total_doses_administered,18091
Total_people_one_dose,8981
Total_people_complete,7539
total_pouluation,8981
Male-65 years and older,2429
Male-55-64 years,618
Male-45-54 years,326
Male-20-44 years,681
Male-Less than 20 years,370
Female-65 years and older,2448
Female-55-64 years,743
Female-45-54 years,373
Female-20-44 years,601
Female-Less than 20 years,373
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",535
Other Race,1185
Hispanic or Latino,1344
Unknown,1847
"White, non-Hispanic",3942
