Category,Graham
Total_doses_administered,43786
Total_people_one_dose,21118
Total_people_complete,18543
total_pouluation,21118
Male-65 years and older,2407
Male-55-64 years,1588
Male-45-54 years,1450
Male-20-44 years,3582
Male-Less than 20 years,1147
Female-65 years and older,2915
Female-55-64 years,1725
Female-45-54 years,1421
Female-20-44 years,3624
Female-Less than 20 years,1247
"Asian or Pacific Islander, non-Hispanic",85
"Black or African American, non-Hispanic",93
Other Race,1302
Hispanic or Latino,3826
Unknown,4119
"American Indian or Alaska Native, non-Hispanic",5203
"White, non-Hispanic",6490
