Category,Mohave
Total_doses_administered,186056
Total_people_one_dose,90530
Total_people_complete,76575
total_pouluation,90530
Male-65 years and older,21058
Male-55-64 years,8271
Male-45-54 years,4304
Male-20-44 years,7545
Male-Less than 20 years,1821
Female-65 years and older,23169
Female-55-64 years,9602
Female-45-54 years,4852
Female-20-44 years,7720
Female-Less than 20 years,2010
"Black or African American, non-Hispanic",617
"American Indian or Alaska Native, non-Hispanic",744
"Asian or Pacific Islander, non-Hispanic",1379
Hispanic or Latino,7221
Unknown,11583
Other Race,14436
"White, non-Hispanic",54550
