Category,Pinal
Total_doses_administered,519454
Total_people_one_dose,253114
Total_people_complete,220234
total_pouluation,253114
Male-65 years and older,37146
Male-55-64 years,18476
Male-45-54 years,16879
Male-20-44 years,38562
Male-Less than 20 years,12761
Female-65 years and older,42698
Female-55-64 years,20783
Female-45-54 years,17155
Female-20-44 years,35388
Female-Less than 20 years,12515
"Asian or Pacific Islander, non-Hispanic",5171
"Black or African American, non-Hispanic",9243
"American Indian or Alaska Native, non-Hispanic",9834
Unknown,30015
Other Race,31159
Hispanic or Latino,40938
"White, non-Hispanic",126754
