Category,Cochise
Total_doses_administered,164620
Total_people_one_dose,81519
Total_people_complete,67087
total_pouluation,81519
Male-65 years and older,11298
Male-55-64 years,5568
Male-45-54 years,4348
Male-20-44 years,11684
Male-Less than 20 years,5520
Female-65 years and older,13226
Female-55-64 years,6587
Female-45-54 years,4891
Female-20-44 years,12388
Female-Less than 20 years,5908
"American Indian or Alaska Native, non-Hispanic",361
"Asian or Pacific Islander, non-Hispanic",1482
"Black or African American, non-Hispanic",1588
Unknown,9655
Other Race,11936
Hispanic or Latino,23281
"White, non-Hispanic",33216
