Category,Apache
Total_doses_administered,61239
Total_people_one_dose,29452
Total_people_complete,22705
total_pouluation,29452
Male-65 years and older,2801
Male-55-64 years,2041
Male-45-54 years,1633
Male-20-44 years,3895
Male-Less than 20 years,4029
Female-65 years and older,3366
Female-55-64 years,2191
Female-45-54 years,1602
Female-20-44 years,3780
Female-Less than 20 years,4106
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,571
Unknown,1119
Other Race,1146
"White, non-Hispanic",3658
"American Indian or Alaska Native, non-Hispanic",22763
