Category,Coconino
Total_doses_administered,205420
Total_people_one_dose,94988
Total_people_complete,81854
total_pouluation,94988
Male-65 years and older,9450
Male-55-64 years,6383
Male-45-54 years,5829
Male-20-44 years,17223
Male-Less than 20 years,6167
Female-65 years and older,10630
Female-55-64 years,7139
Female-45-54 years,5889
Female-20-44 years,19607
Female-Less than 20 years,6398
"Black or African American, non-Hispanic",787
"Asian or Pacific Islander, non-Hispanic",1645
Hispanic or Latino,7201
Other Race,8691
Unknown,12626
"American Indian or Alaska Native, non-Hispanic",22656
"White, non-Hispanic",41382
