Category,Santa Cruz
Total_doses_administered,109706
Total_people_one_dose,56627
Total_people_complete,44642
total_pouluation,56627
Male-65 years and older,4736
Male-55-64 years,3280
Male-45-54 years,3449
Male-20-44 years,9102
Male-Less than 20 years,6505
Female-65 years and older,5731
Female-55-64 years,3607
Female-45-54 years,3737
Female-20-44 years,9533
Female-Less than 20 years,6862
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",186
Other Race,3531
Unknown,3881
"White, non-Hispanic",7585
Hispanic or Latino,41329
