Category,Gila
Total_doses_administered,55933
Total_people_one_dose,26108
Total_people_complete,22921
total_pouluation,26108
Male-65 years and older,5837
Male-55-64 years,2228
Male-45-54 years,1261
Male-20-44 years,2409
Male-Less than 20 years,715
Female-65 years and older,6222
Female-55-64 years,2610
Female-45-54 years,1398
Female-20-44 years,2582
Female-Less than 20 years,788
"Black or African American, non-Hispanic",90
"Asian or Pacific Islander, non-Hispanic",206
Hispanic or Latino,1439
"American Indian or Alaska Native, non-Hispanic",2654
Other Race,4169
Unknown,4589
"White, non-Hispanic",12961
