Category,Yuma
Total_doses_administered,314417
Total_people_one_dose,158274
Total_people_complete,127468
total_pouluation,158274
Male-65 years and older,16814
Male-55-64 years,10558
Male-45-54 years,9256
Male-20-44 years,28205
Male-Less than 20 years,12465
Female-65 years and older,19365
Female-55-64 years,11269
Female-45-54 years,10179
Female-20-44 years,26581
Female-Less than 20 years,12973
"Black or African American, non-Hispanic",837
"American Indian or Alaska Native, non-Hispanic",1179
"Asian or Pacific Islander, non-Hispanic",1217
Other Race,19053
Unknown,29515
"White, non-Hispanic",34864
Hispanic or Latino,71609
