Category,Maricopa
Total_doses_administered,5618585
Total_people_one_dose,2655961
Total_people_complete,2306876
total_pouluation,2655961
Male-65 years and older,286486
Male-55-64 years,189210
Male-45-54 years,183607
Male-20-44 years,439806
Male-Less than 20 years,149565
Female-65 years and older,357843
Female-55-64 years,212707
Female-45-54 years,198937
Female-20-44 years,470851
Female-Less than 20 years,152472
"American Indian or Alaska Native, non-Hispanic",51972
"Black or African American, non-Hispanic",102877
"Asian or Pacific Islander, non-Hispanic",134639
Unknown,179031
Other Race,428668
Hispanic or Latino,447079
"White, non-Hispanic",1311695
