Category,Navajo
Total_doses_administered,100063
Total_people_one_dose,49198
Total_people_complete,40533
total_pouluation,49198
Male-65 years and older,7348
Male-55-64 years,3583
Male-45-54 years,2717
Male-20-44 years,5820
Male-Less than 20 years,4384
Female-65 years and older,8276
Female-55-64 years,4113
Female-45-54 years,2718
Female-20-44 years,5705
Female-Less than 20 years,4498
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",360
Unknown,2324
Hispanic or Latino,2507
Other Race,6328
"White, non-Hispanic",16044
"American Indian or Alaska Native, non-Hispanic",21430
