Category,Maricopa
Total_doses_administered,5694735
Total_people_one_dose,2675405
Total_people_complete,2314709
total_pouluation,2675405
Male-65 years and older,287982
Male-55-64 years,190185
Male-45-54 years,184597
Male-20-44 years,442689
Male-Less than 20 years,152679
Female-65 years and older,359684
Female-55-64 years,213746
Female-45-54 years,199934
Female-20-44 years,473810
Female-Less than 20 years,155666
"American Indian or Alaska Native, non-Hispanic",52450
"Black or African American, non-Hispanic",103967
"Asian or Pacific Islander, non-Hispanic",135826
Unknown,180263
Other Race,430605
Hispanic or Latino,452495
"White, non-Hispanic",1319799
