Category,Yavapai
Total_doses_administered,250914
Total_people_one_dose,118558
Total_people_complete,99573
total_pouluation,118558
Male-65 years and older,26166
Male-55-64 years,9284
Male-45-54 years,5121
Male-20-44 years,10343
Male-Less than 20 years,2998
Female-65 years and older,31834
Female-55-64 years,11687
Female-45-54 years,6083
Female-20-44 years,10607
Female-Less than 20 years,3286
"Black or African American, non-Hispanic",576
"American Indian or Alaska Native, non-Hispanic",1444
"Asian or Pacific Islander, non-Hispanic",1463
Hispanic or Latino,8267
Other Race,17412
Unknown,18722
"White, non-Hispanic",70674
