Category,Mohave
Total_doses_administered,188392
Total_people_one_dose,91221
Total_people_complete,76809
total_pouluation,91221
Male-65 years and older,21201
Male-55-64 years,8323
Male-45-54 years,4335
Male-20-44 years,7624
Male-Less than 20 years,1867
Female-65 years and older,23281
Female-55-64 years,9664
Female-45-54 years,4882
Female-20-44 years,7803
Female-Less than 20 years,2061
"Black or African American, non-Hispanic",625
"American Indian or Alaska Native, non-Hispanic",750
"Asian or Pacific Islander, non-Hispanic",1393
Hispanic or Latino,7330
Unknown,11614
Other Race,14507
"White, non-Hispanic",55002
