Category,Arizona
Total_doses_administered,9846824
Total_people_complete,3957353
total_pouluation,7189020
Total_people_one_dose,4705034
Male-65 years and older,572914
Male-55-64 years,333101
Male-45-54 years,300569
Male-20-44 years,747891
Male-Less than 20 years,271970
Female-65 years and older,696319
Female-55-64 years,378530
Female-45-54 years,323481
Female-20-44 years,781723
Female-Less than 20 years,278618
"Black or African American, non-Hispanic",142511
"Asian or Pacific Islander, non-Hispanic",179941
"American Indian or Alaska Native, non-Hispanic",202881
Unknown,428978
Other Race,672018
Hispanic or Latino,879538
"White, non-Hispanic",2199167
