Category,Apache
Total_doses_administered,62322
Total_people_one_dose,29826
Total_people_complete,22836
total_pouluation,29826
Male-65 years and older,2815
Male-55-64 years,2058
Male-45-54 years,1646
Male-20-44 years,3941
Male-Less than 20 years,4128
Female-65 years and older,3386
Female-55-64 years,2202
Female-45-54 years,1613
Female-20-44 years,3829
Female-Less than 20 years,4200
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,579
Unknown,1142
Other Race,1157
"White, non-Hispanic",3673
"American Indian or Alaska Native, non-Hispanic",23080
