Category,Graham
Total_doses_administered,44919
Total_people_one_dose,21414
Total_people_complete,18673
total_pouluation,21414
Male-65 years and older,2414
Male-55-64 years,1593
Male-45-54 years,1452
Male-20-44 years,3617
Male-Less than 20 years,1226
Female-65 years and older,2927
Female-55-64 years,1735
Female-45-54 years,1427
Female-20-44 years,3659
Female-Less than 20 years,1352
"Asian or Pacific Islander, non-Hispanic",85
"Black or African American, non-Hispanic",92
Other Race,1303
Hispanic or Latino,3866
Unknown,4130
"American Indian or Alaska Native, non-Hispanic",5398
"White, non-Hispanic",6540
