Category,Yuma
Total_doses_administered,318632
Total_people_one_dose,159839
Total_people_complete,127826
total_pouluation,159839
Male-65 years and older,17073
Male-55-64 years,10664
Male-45-54 years,9306
Male-20-44 years,28390
Male-Less than 20 years,12642
Female-65 years and older,19644
Female-55-64 years,11396
Female-45-54 years,10232
Female-20-44 years,26763
Female-Less than 20 years,13116
"Black or African American, non-Hispanic",839
"American Indian or Alaska Native, non-Hispanic",1187
"Asian or Pacific Islander, non-Hispanic",1228
Other Race,19335
Unknown,29655
"White, non-Hispanic",35370
Hispanic or Latino,72225
