Category,Santa Cruz
Total_doses_administered,110804
Total_people_one_dose,57115
Total_people_complete,44547
total_pouluation,57115
Male-65 years and older,4769
Male-55-64 years,3309
Male-45-54 years,3467
Male-20-44 years,9173
Male-Less than 20 years,6595
Female-65 years and older,5773
Female-55-64 years,3634
Female-45-54 years,3765
Female-20-44 years,9608
Female-Less than 20 years,6937
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3554
Unknown,3908
"White, non-Hispanic",7657
Hispanic or Latino,41691
