Category,Cochise
Total_doses_administered,167376
Total_people_one_dose,82468
Total_people_complete,67430
total_pouluation,82468
Male-65 years and older,11379
Male-55-64 years,5620
Male-45-54 years,4398
Male-20-44 years,11770
Male-Less than 20 years,5689
Female-65 years and older,13327
Female-55-64 years,6658
Female-45-54 years,4939
Female-20-44 years,12504
Female-Less than 20 years,6083
"American Indian or Alaska Native, non-Hispanic",364
"Asian or Pacific Islander, non-Hispanic",1501
"Black or African American, non-Hispanic",1599
Unknown,9855
Other Race,12030
Hispanic or Latino,23670
"White, non-Hispanic",33449
