Category,Coconino
Total_doses_administered,208254
Total_people_one_dose,95657
Total_people_complete,82135
total_pouluation,95657
Male-65 years and older,9494
Male-55-64 years,6398
Male-45-54 years,5863
Male-20-44 years,17343
Male-Less than 20 years,6300
Female-65 years and older,10680
Female-55-64 years,7175
Female-45-54 years,5908
Female-20-44 years,19715
Female-Less than 20 years,6510
"Black or African American, non-Hispanic",793
"Asian or Pacific Islander, non-Hispanic",1671
Hispanic or Latino,7297
Other Race,8732
Unknown,12556
"American Indian or Alaska Native, non-Hispanic",22895
"White, non-Hispanic",41713
