Category,Coconino
Total_doses_administered,133094
Total_people_one_dose,73024
Total_people_complete,65073
Total_doses_ordered,95762
total_pouluation,147275
Male-65 years and older,7165
Male-55-64 years,5506
Male-45-54 years,4813
Male-20-44 years,14287
Male-Less than 20 years,1980
Female-65 years and older,8266
Female-55-64 years,6252
Female-45-54 years,5103
Female-20-44 years,16822
Female-Less than 20 years,2762
"Black or African American, non-Hispanic",0.0066005696757231
"Asian or Pacific Islander, non-Hispanic",0.013831069237511
Hispanic or Latino,0.0618015994741455
Other Race,0.1092517528483786
"American Indian or Alaska Native, non-Hispanic",0.1935391104294479
Unknown,0.2337039877300614
"White, non-Hispanic",0.3812719106047327
