Category,Apache
Total_doses_administered,19153
Total_people_one_dose,11377
Total_people_complete,8545
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1639
Male-55-64 years,856
Male-45-54 years,518
Male-20-44 years,932
Male-Less than 20 years,1614
Female-65 years and older,1683
Female-55-64 years,955
Female-45-54 years,575
Female-20-44 years,895
Female-Less than 20 years,1705
"Asian or Pacific Islander, non-Hispanic",0.0113386657291026
"Black or African American, non-Hispanic",0.0157334974070493
Other Race,0.0437725235123495
Hispanic or Latino,0.100905335325657
Unknown,0.166915707128417
"White, non-Hispanic",0.2114793003427969
"American Indian or Alaska Native, non-Hispanic",0.4498549705546278
