,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3474738,954317,13286,58918,96560,33222,11794,7116,11398,1280204,69948,34110,477426,148978,28304,115177,96544
Total_people_one_dose,2195229,621673,7822,38442,56889,20307,7326,4079,7287,803600,47318,21776,308880,94362,18190,70635,66643
Total_people_complete,1380430,,,,,,,,,,,,,,,,
Total_doses_ordered,3198240,,,,,,,,,,,,,,,,
65 years and older,523922,,,,,,,,,,,,,,,,
55-64 years,238694,,,,,,,,,,,,,,,,
45-54 years,144257,,,,,,,,,,,,,,,,
20-44 years,293991,,,,,,,,,,,,,,,,
Less than 20 years,21551,,,,,,,,,,,,,,,,
65 years and older,47318,,,,,,,,,,,,,,,,
55-64 years,191723,,,,,,,,,,,,,,,,
45-54 years,113057,,,,,,,,,,,,,,,,
20-44 years,225209,,,,,,,,,,,,,,,,
Less than 20 years,16671,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",41929,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",56884,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",68461,,,,,,,,,,,,,,,,
Hispanic or Latino,229171,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",327988,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",395040,,,,,,,,,,,,,,,,
"White, non-Hispanic",1076113,,,,,,,,,,,,,,,,
