,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5383508,1522239,16310,90926,125062,45198,17058,7953,15519,2010443,117873,44912,725324,226128,48696,161741,154726
Total_people_one_dose,3068234,834629,9295,52722,68573,25160,9571,4512,8686,1200945,69554,26361,415585,132762,27848,93634,88397
Total_people_complete,2517206,,,,,,,,,,,,,,,,
Total_doses_ordered,5121400,,,,,,,,,,,,,,,,
65 years and older,586792,,,,,,,,,,,,,,,,
55-64 years,300652,,,,,,,,,,,,,,,,
45-54 years,226707,,,,,,,,,,,,,,,,
20-44 years,480141,,,,,,,,,,,,,,,,
Less than 20 years,56066,,,,,,,,,,,,,,,,
65 years and older,69554,,,,,,,,,,,,,,,,
55-64 years,252604,,,,,,,,,,,,,,,,
45-54 years,199293,,,,,,,,,,,,,,,,
20-44 years,435106,,,,,,,,,,,,,,,,
Less than 20 years,48555,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",70630,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",73843,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",114199,,,,,,,,,,,,,,,,
Hispanic or Latino,404223,,,,,,,,,,,,,,,,
Unknown,416340,,,,,,,,,,,,,,,,
Other Race,520251,,,,,,,,,,,,,,,,
"White, non-Hispanic",1468748,,,,,,,,,,,,,,,,
