Category,Yavapai
Total_doses_administered,240102
Total_people_one_dose,116291
Total_people_complete,98258
total_pouluation,116291
Male-65 years and older,25706
Male-55-64 years,9112
Male-45-54 years,5012
Male-20-44 years,10107
Male-Less than 20 years,2834
Female-65 years and older,31384
Female-55-64 years,11557
Female-45-54 years,5977
Female-20-44 years,10351
Female-Less than 20 years,3103
"Black or African American, non-Hispanic",550
"Asian or Pacific Islander, non-Hispanic",1411
"American Indian or Alaska Native, non-Hispanic",1414
Hispanic or Latino,7968
Other Race,17123
Unknown,19169
"White, non-Hispanic",68656
