Category,Coconino
Total_doses_administered,198717
Total_people_one_dose,93664
Total_people_complete,81378
total_pouluation,93664
Male-65 years and older,9351
Male-55-64 years,6311
Male-45-54 years,5746
Male-20-44 years,17002
Male-Less than 20 years,5922
Female-65 years and older,10541
Female-55-64 years,7097
Female-45-54 years,5845
Female-20-44 years,19408
Female-Less than 20 years,6178
"Black or African American, non-Hispanic",774
"Asian or Pacific Islander, non-Hispanic",1605
Hispanic or Latino,7024
Other Race,8597
Unknown,12689
"American Indian or Alaska Native, non-Hispanic",22289
"White, non-Hispanic",40686
