Category,Mohave
Total_doses_administered,180094
Total_people_one_dose,89165
Total_people_complete,75838
total_pouluation,89165
Male-65 years and older,20661
Male-55-64 years,8168
Male-45-54 years,4243
Male-20-44 years,7416
Male-Less than 20 years,1737
Female-65 years and older,22886
Female-55-64 years,9513
Female-45-54 years,4805
Female-20-44 years,7605
Female-Less than 20 years,1953
"Black or African American, non-Hispanic",601
"American Indian or Alaska Native, non-Hispanic",727
"Asian or Pacific Islander, non-Hispanic",1339
Hispanic or Latino,7072
Unknown,11501
Other Race,14291
"White, non-Hispanic",53634
