Category,Santa Cruz
Total_doses_administered,106421
Total_people_one_dose,55317
Total_people_complete,44028
total_pouluation,55317
Male-65 years and older,4677
Male-55-64 years,3249
Male-45-54 years,3384
Male-20-44 years,8982
Male-Less than 20 years,6174
Female-65 years and older,5649
Female-55-64 years,3547
Female-45-54 years,3658
Female-20-44 years,9310
Female-Less than 20 years,6604
"Black or African American, non-Hispanic",57
"American Indian or Alaska Native, non-Hispanic",57
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3475
Unknown,3784
"White, non-Hispanic",7467
Hispanic or Latino,40293
