Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9402030,58874,198717,158962,42804,9049,54728,17494,5452452,180094,97504,504333,1522714,106421,240102,303374
Total_people_complete,454408,22483,81378,66403,18419,3735,22820,7468,2292208,75838,40263,218661,624720,44028,98258,126218
total_pouluation,7189020,28818,93664,79743,20888,4315,25875,8806,2618544,89165,48504,248980,719501,55317,116291,154343
Total_people_one_dose,4583620,28818,93664,79743,20888,4315,25875,8806,2618544,89165,48504,248980,719501,55317,116291,154343
Male-65 years and older,561114,2766,9351,11142,2389,512,5779,2376,283684,20661,7277,36529,91253,4677,25706,16124
Male-55-64 years,326365,2011,6311,5444,1576,367,2220,606,187329,8168,3554,18221,47817,3249,9112,10317
Male-45-54 years,294622,1611,5746,4273,1435,323,1250,323,181725,4243,2677,16699,41122,3384,5012,9126
Male-20-44 years,730251,3802,17002,11460,3550,782,2378,661,434105,7416,5732,38080,110163,8982,10107,27766
Male-Less than 20 years,253695,3888,5922,5233,1110,212,693,359,143034,1737,4242,12111,41949,6174,2834,12038
Female-65 years and older,683453,3323,10541,13058,2898,512,6178,2415,354721,22886,8214,42094,117421,5649,31384,18641
Female-55-64 years,371716,2159,7097,6480,1716,316,2594,726,210923,9513,4074,20552,57287,3547,11557,11003
Female-45-54 years,317805,1580,5845,4800,1418,326,1393,369,197168,4805,2690,16973,46708,3658,5977,10053
Female-20-44 years,763792,3710,19408,12155,3580,752,2561,592,465195,7605,5636,34998,121101,9310,10351,26191
Female-Less than 20 years,260953,3960,6178,5597,1204,211,771,361,146209,1953,4372,11974,43216,6604,3103,12513
"Black or African American, non-Hispanic",137902,59,774,1547,92,51,89,39,100905,601,203,9064,16207,57,550,821
"Asian or Pacific Islander, non-Hispanic",174290,130,1605,1455,84,43,204,89,132090,1339,352,5077,21626,184,1411,1194
"American Indian or Alaska Native, non-Hispanic",195181,22218,22289,354,5185,118,2646,514,51044,727,21081,9611,14945,57,1414,1150
Unknown,418912,1104,12689,9396,4072,311,4584,1819,175368,11501,2269,29470,66106,3784,19169,28874
Other Race,660148,1124,8597,11787,1297,88,4122,1156,424873,14291,6265,30849,90149,3475,17123,18265
Hispanic or Latino,846611,565,7024,22406,3744,1941,1418,1314,437311,7072,2450,40127,173048,40293,7968,70278
"White, non-Hispanic",2150576,3618,40686,32798,6414,1763,12812,3875,1296953,53634,15884,124782,337420,7467,68656,33761
