Category,Greenlee
Total_doses_administered,9049
Total_people_one_dose,4315
Total_people_complete,3735
total_pouluation,4315
Male-65 years and older,512
Male-55-64 years,367
Male-45-54 years,323
Male-20-44 years,782
Male-Less than 20 years,212
Female-65 years and older,512
Female-55-64 years,316
Female-45-54 years,326
Female-20-44 years,752
Female-Less than 20 years,211
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",51
Other Race,88
"American Indian or Alaska Native, non-Hispanic",118
Unknown,311
"White, non-Hispanic",1763
Hispanic or Latino,1941
