Category,Navajo
Total_doses_administered,97504
Total_people_one_dose,48504
Total_people_complete,40263
total_pouluation,48504
Male-65 years and older,7277
Male-55-64 years,3554
Male-45-54 years,2677
Male-20-44 years,5732
Male-Less than 20 years,4242
Female-65 years and older,8214
Female-55-64 years,4074
Female-45-54 years,2690
Female-20-44 years,5636
Female-Less than 20 years,4372
"Black or African American, non-Hispanic",203
"Asian or Pacific Islander, non-Hispanic",352
Unknown,2269
Hispanic or Latino,2450
Other Race,6265
"White, non-Hispanic",15884
"American Indian or Alaska Native, non-Hispanic",21081
