Category,Greenlee
Total_doses_administered,8447
Total_people_one_dose,4160
Total_people_complete,3669
total_pouluation,4160
Male-65 years and older,503
Male-55-64 years,370
Male-45-54 years,319
Male-20-44 years,764
Male-Less than 20 years,163
Female-65 years and older,506
Female-55-64 years,316
Female-45-54 years,319
Female-20-44 years,732
Female-Less than 20 years,166
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",44
Other Race,83
"American Indian or Alaska Native, non-Hispanic",111
Unknown,288
"White, non-Hispanic",1726
Hispanic or Latino,1866
