Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,8813448,43667,185711,146350,40350,8447,51626,16486,5147017,169211,90115,475135,1423519,97255,224815,280365
Total_people_complete,413379,17132,80411,65004,18139,3669,22566,7356,2263893,74488,38922,215074,617148,43233,96338,123605
total_pouluation,7189020,24110,91173,75987,20274,4160,25341,8447,2551727,86796,46290,241969,696681,50937,113324,146592
Total_people_one_dose,4431598,24110,91173,75987,20274,4160,25341,8447,2551727,86796,46290,241969,696681,50937,113324,146592
Male-65 years and older,548050,2429,9182,10816,2356,503,5686,2310,279508,20091,7095,35769,89628,4508,25090,15337
Male-55-64 years,318273,1670,6182,5259,1556,370,2195,590,184201,7957,3443,17880,46818,3130,8916,9993
Male-45-54 years,287595,1290,5652,4111,1410,319,1227,314,178470,4135,2560,16386,40258,3268,4879,8884
Male-20-44 years,710336,3007,16649,11086,3477,764,2334,644,424827,7194,5491,36956,107485,8741,9833,26778
Male-Less than 20 years,227247,3386,5406,4490,992,163,642,291,129993,1621,3865,10988,36967,4820,2582,10520
Female-65 years and older,669255,2874,10382,12779,2848,506,6105,2349,349752,22444,7975,41318,115621,5426,30845,17806
Female-55-64 years,363006,1808,7006,6305,1699,316,2558,704,207703,9333,3962,20186,56211,3389,11311,10626
Female-45-54 years,310689,1308,5760,4623,1373,319,1374,360,193954,4685,2572,16667,45760,3531,5822,9760
Female-20-44 years,742358,2845,18977,11649,3473,732,2460,568,455354,7324,5338,34135,118064,8883,10023,25347
Female-Less than 20 years,235077,3485,5715,4770,1078,166,702,300,133532,1838,3954,10938,38425,5164,2875,11014
"Black or African American, non-Hispanic",133228,49,749,1496,87,44,87,37,97708,580,193,8785,15598,51,519,783
"Asian or Pacific Islander, non-Hispanic",167855,107,1523,1399,80,42,198,87,127598,1286,338,4896,20895,183,1340,1151
"American Indian or Alaska Native, non-Hispanic",180726,17825,21499,336,5027,111,2574,450,49198,687,19617,8992,14357,53,1370,1131
Unknown,406024,1082,12952,8847,3974,288,4555,1744,169174,11380,2105,28766,65973,2988,19532,27914
Other Race,645114,1033,8380,11485,1269,83,3976,1120,417861,13994,6112,30158,87652,3379,16682,16919
Hispanic or Latino,804118,520,6755,20399,3576,1866,1372,1247,419833,6755,2349,38695,163521,37080,7648,66527
"White, non-Hispanic",2094533,3494,39315,32025,6261,1726,12579,3762,1270355,52114,15576,121677,328685,7203,66233,32167
