Category,Coconino
Total_doses_administered,185711
Total_people_one_dose,91173
Total_people_complete,80411
total_pouluation,91173
Male-65 years and older,9182
Male-55-64 years,6182
Male-45-54 years,5652
Male-20-44 years,16649
Male-Less than 20 years,5406
Female-65 years and older,10382
Female-55-64 years,7006
Female-45-54 years,5760
Female-20-44 years,18977
Female-Less than 20 years,5715
"Black or African American, non-Hispanic",749
"Asian or Pacific Islander, non-Hispanic",1523
Hispanic or Latino,6755
Other Race,8380
Unknown,12952
"American Indian or Alaska Native, non-Hispanic",21499
"White, non-Hispanic",39315
