Category,Arizona
Total_doses_administered,8813448
Total_people_complete,413379
total_pouluation,7189020
Total_people_one_dose,4431598
Male-65 years and older,548050
Male-55-64 years,318273
Male-45-54 years,287595
Male-20-44 years,710336
Male-Less than 20 years,227247
Female-65 years and older,669255
Female-55-64 years,363006
Female-45-54 years,310689
Female-20-44 years,742358
Female-Less than 20 years,235077
"Black or African American, non-Hispanic",133228
"Asian or Pacific Islander, non-Hispanic",167855
"American Indian or Alaska Native, non-Hispanic",180726
Unknown,406024
Other Race,645114
Hispanic or Latino,804118
"White, non-Hispanic",2094533
