Category,Yavapai
Total_doses_administered,224815
Total_people_one_dose,113324
Total_people_complete,96338
total_pouluation,113324
Male-65 years and older,25090
Male-55-64 years,8916
Male-45-54 years,4879
Male-20-44 years,9833
Male-Less than 20 years,2582
Female-65 years and older,30845
Female-55-64 years,11311
Female-45-54 years,5822
Female-20-44 years,10023
Female-Less than 20 years,2875
"Black or African American, non-Hispanic",519
"Asian or Pacific Islander, non-Hispanic",1340
"American Indian or Alaska Native, non-Hispanic",1370
Hispanic or Latino,7648
Other Race,16682
Unknown,19532
"White, non-Hispanic",66233
