Category,Apache
Total_doses_administered,43667
Total_people_one_dose,24110
Total_people_complete,17132
total_pouluation,24110
Male-65 years and older,2429
Male-55-64 years,1670
Male-45-54 years,1290
Male-20-44 years,3007
Male-Less than 20 years,3386
Female-65 years and older,2874
Female-55-64 years,1808
Female-45-54 years,1308
Female-20-44 years,2845
Female-Less than 20 years,3485
"Black or African American, non-Hispanic",49
"Asian or Pacific Islander, non-Hispanic",107
Hispanic or Latino,520
Other Race,1033
Unknown,1082
"White, non-Hispanic",3494
"American Indian or Alaska Native, non-Hispanic",17825
