,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1380319,15596,82501,117337,38374,14833,7809,14374,1763240,102381,41965,651078,201581,41529,149683,131658
Total_people_one_dose,2846015,796699,9015,49778,66082,22422,8894,4444,8339,1084409,64316,25406,388996,123007,25326,88506,80376
Total_people_complete,2122939,,,,,,,,,,,,,,,,
Total_doses_ordered,4335320,,,,,,,,,,,,,,,,
65 years and older,570176,,,,,,,,,,,,,,,,
55-64 years,284420,,,,,,,,,,,,,,,,
45-54 years,207115,,,,,,,,,,,,,,,,
20-44 years,433566,,,,,,,,,,,,,,,,
Less than 20 years,46963,,,,,,,,,,,,,,,,
65 years and older,123007,,,,,,,,,,,,,,,,
55-64 years,235704,,,,,,,,,,,,,,,,
45-54 years,178319,,,,,,,,,,,,,,,,
20-44 years,382005,,,,,,,,,,,,,,,,
Less than 20 years,40165,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",62774,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",67108,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",103687,,,,,,,,,,,,,,,,
Hispanic or Latino,357724,,,,,,,,,,,,,,,,
Unknown,393126,,,,,,,,,,,,,,,,
Other Race,487128,,,,,,,,,,,,,,,,
"White, non-Hispanic",1374468,,,,,,,,,,,,,,,,
