Category,Navajo
Total_doses_administered,41965
Total_people_one_dose,25406
Total_people_complete,18717
Total_doses_ordered,36600
total_pouluation,112825
Male-65 years and older,5209
Male-55-64 years,2310
Male-45-54 years,1508
Male-20-44 years,2833
Male-Less than 20 years,659
Female-65 years and older,5589
Female-55-64 years,2647
Female-45-54 years,1585
Female-20-44 years,2332
Female-Less than 20 years,710
"Black or African American, non-Hispanic",0.0050775407384083
"Asian or Pacific Islander, non-Hispanic",0.008501928678265
Hispanic or Latino,0.0527434464299772
Unknown,0.1018657010155082
"American Indian or Alaska Native, non-Hispanic",0.1983783358261828
Other Race,0.2132173502322286
"White, non-Hispanic",0.4202156970794301
