Category,Arizona
Total_doses_administered,7158391
Total_people_complete,3459329
Total_doses_ordered,5275110
total_pouluation,7189020
Total_people_one_dose,3940117
Male-65 years and older,517883
Male-55-64 years,298038
Male-45-54 years,258879
Male-20-44 years,610315
Male-Less than 20 years,157986
Female-65 years and older,638762
Female-55-64 years,343175
Female-45-54 years,284057
Female-20-44 years,644919
Female-Less than 20 years,166659
"Black or African American, non-Hispanic",107031
"American Indian or Alaska Native, non-Hispanic",116289
"Asian or Pacific Islander, non-Hispanic",148594
Unknown,426609
Other Race,664526
Hispanic or Latino,659415
"White, non-Hispanic",1817653
