Category,Cochise
Total_doses_administered,120348
Total_people_one_dose,67780
Total_people_complete,59337
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10723
Male-55-64 years,5173
Male-45-54 years,3770
Male-20-44 years,9692
Male-Less than 20 years,2634
Female-65 years and older,12686
Female-55-64 years,6244
Female-45-54 years,4339
Female-20-44 years,9733
Female-Less than 20 years,2694
"American Indian or Alaska Native, non-Hispanic",320
"Black or African American, non-Hispanic",1260
"Asian or Pacific Islander, non-Hispanic",1299
Unknown,9090
Other Race,10309
Hispanic or Latino,16453
"White, non-Hispanic",29049
