Category,Maricopa
Total_doses_administered,3021312
Total_people_one_dose,1729208
Total_people_complete,1484657
Total_doses_ordered,1598808
total_pouluation,4367835
Male-65 years and older,180772
Male-55-64 years,126787
Male-45-54 years,125494
Male-20-44 years,289850
Male-Less than 20 years,78530
Female-65 years and older,234342
Female-55-64 years,146219
Female-45-54 years,139415
Female-20-44 years,314830
Female-Less than 20 years,81175
"American Indian or Alaska Native, non-Hispanic",36508
"Black or African American, non-Hispanic",66511
"Asian or Pacific Islander, non-Hispanic",80983
Unknown,171017
Other Race,265053
Hispanic or Latino,313494
"White, non-Hispanic",795642
