date,inpatient_covid,inpatient_non_covid,inpatient_empty
2021-08-20,1866,6176,746
2021-08-19,1806,6241,738
2021-08-18,1837,6208,717
2021-08-17,1759,6188,801
2021-08-16,1704,6108,901
2021-08-15,1667,6161,901
2021-08-14,1634,6245,838
2021-08-13,1601,6377,756
2021-08-12,1590,6369,767
2021-08-11,1527,6383,797
2021-08-10,1513,6400,783
2021-08-09,1470,6303,907
2021-08-08,1380,6456,846
2021-08-07,1350,6495,832
2021-08-06,1358,6481,834
2021-08-05,1309,6540,820
2021-08-04,1266,6514,887
2021-08-03,1252,6498,913
2021-08-02,1207,6421,1044
2021-08-01,1169,6572,918
2021-07-31,1131,6615,909
2021-07-30,1106,6654,903
2021-07-29,1072,6651,928
2021-07-28,1019,6668,964
2021-07-27,973,6699,979
2021-07-26,919,6675,1057
2021-07-25,835,6718,1100
2021-07-24,845,6802,1025
2021-07-23,866,6899,908
2021-07-22,910,6895,867
2021-07-21,868,6946,861
2021-07-20,841,6926,906
2021-07-19,809,6791,1045
2021-07-18,814,6877,964
2021-07-17,775,6938,946
2021-07-16,745,6990,925
2021-07-15,719,7043,909
2021-07-14,689,7033,926
2021-07-13,669,7038,946
2021-07-12,643,7002,1008
2021-07-11,602,7079,976
2021-07-10,603,7087,978
2021-07-09,550,7163,961
2021-07-08,535,7190,950
2021-07-07,548,7053,1047
2021-07-06,562,6963,1123
2021-07-05,531,6926,1176
2021-07-04,525,7015,1100
2021-07-03,504,7086,1054
2021-07-02,520,7142,981
2021-07-01,530,7199,912
2021-06-30,527,7189,928
2021-06-29,559,7149,935
2021-06-28,532,7049,1066
2021-06-27,503,7049,1101
2021-06-26,506,7100,1047
2021-06-25,525,7188,940
2021-06-24,523,7152,924
2021-06-23,497,7257,906
2021-06-22,502,7234,913
2021-06-21,487,7111,1057
2021-06-20,522,7145,973
2021-06-19,514,7210,928
2021-06-18,503,7231,917
2021-06-17,499,7214,916
2021-06-16,480,7126,1022
2021-06-15,554,7024,1050
2021-06-14,509,7019,1099
2021-06-13,520,6938,1169
2021-06-12,512,7165,969
2021-06-11,529,7195,929
2021-06-10,525,7190,940
2021-06-09,559,7167,928
2021-06-08,600,6946,972
2021-06-07,602,6820,1083
2021-06-06,560,6901,1034
2021-06-05,552,7035,996
2021-06-04,566,7077,945
2021-06-03,590,7062,947
2021-06-02,532,7110,956
2021-06-01,544,6906,1145
