Category,Yavapai
Total_doses_administered,189547
Total_people_one_dose,108779
Total_people_complete,90988
Total_doses_ordered,168620
total_pouluation,232386
Male-65 years and older,23955
Male-55-64 years,8500
Male-45-54 years,4936
Male-20-44 years,9590
Male-Less than 20 years,1974
Female-65 years and older,29918
Female-55-64 years,10876
Female-45-54 years,5759
Female-20-44 years,9745
Female-Less than 20 years,2215
"Black or African American, non-Hispanic",565
"American Indian or Alaska Native, non-Hispanic",1080
"Asian or Pacific Islander, non-Hispanic",1420
Hispanic or Latino,6771
Other Race,16650
Unknown,27382
"White, non-Hispanic",54911
