Category,Navajo
Total_doses_administered,76266
Total_people_one_dose,42957
Total_people_complete,36567
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6864
Male-55-64 years,3561
Male-45-54 years,2505
Male-20-44 years,5281
Male-Less than 20 years,3029
Female-65 years and older,7551
Female-55-64 years,3810
Female-45-54 years,2532
Female-20-44 years,4632
Female-Less than 20 years,3158
"Black or African American, non-Hispanic",221
"Asian or Pacific Islander, non-Hispanic",413
Unknown,2176
Hispanic or Latino,2224
Other Race,8235
"White, non-Hispanic",14294
"American Indian or Alaska Native, non-Hispanic",15394
