Category,Apache
Total_doses_administered,32446
Total_people_one_dose,18272
Total_people_complete,11874
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1933
Male-55-64 years,1282
Male-45-54 years,996
Male-20-44 years,2421
Male-Less than 20 years,2472
Female-65 years and older,2038
Female-55-64 years,1399
Female-45-54 years,990
Female-20-44 years,2176
Female-Less than 20 years,2555
"Asian or Pacific Islander, non-Hispanic",164
"Black or African American, non-Hispanic",279
Unknown,1011
Other Race,1226
Hispanic or Latino,1794
"White, non-Hispanic",3196
"American Indian or Alaska Native, non-Hispanic",10602
