Category,Gila
Total_doses_administered,52179
Total_people_one_dose,29158
Total_people_complete,25682
Total_doses_ordered,36740
total_pouluation,55159
Male-65 years and older,5887
Male-55-64 years,2641
Male-45-54 years,1624
Male-20-44 years,3164
Male-Less than 20 years,729
Female-65 years and older,6239
Female-55-64 years,2930
Female-45-54 years,1717
Female-20-44 years,3290
Female-Less than 20 years,876
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",259
Hispanic or Latino,1323
Other Race,4832
Unknown,5441
"American Indian or Alaska Native, non-Hispanic",5824
"White, non-Hispanic",11382
